p,drive,flow,intensity,shape_grow,shape_rise,shape_advance,body_connectivity,body_sequencing,kinesphere,space_approach,space_plane
1,Press,0.15,0.4,0.1,0.0,0.0,0.5,0.3,0.3,0.9,0.2
2,Press,0.15,0.35,0.05,0.0,0.0,0.5,0.3,0.3,0.85,0.2
3,Press,0.2,0.55,0.2,0.1,0.1,0.45,0.35,0.35,0.65,0.3
4,Press,0.18,0.65,0.2,0.05,0.1,0.45,0.35,0.35,0.75,0.3
5,Wring,0.3,0.75,0.3,0.1,0.2,0.4,0.4,0.4,0.32,0.4
6,Press,0.5,0.8,0.4,0.3,0.35,0.45,0.5,0.5,0.7,0.5
7,Wring,0.35,0.8,0.35,0.2,0.3,0.45,0.4,0.45,0.45,0.45
8,Glide,0.75,0.6,0.55,0.45,0.65,0.55,0.6,0.55,0.8,0.55
9,Glide,0.4,0.85,0.65,0.55,0.8,0.5,0.35,0.6,0.7,0.55
10,Slash,0.65,0.8,0.2,0.2,0.0,0.3,0.15,0.3,0.35,0.3
